2012-06-07 12:24:01 - [id=0] Downloaded XMLNews, 582310 bytes in 6.7 seconds
2012-06-07 12:26:04 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 12:27:57 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 12:30:12 - [id=0] STATUS: Downloaded 48 bytes of new media content, 0/2 files
2012-06-07 12:32:05 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 12:34:13 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 12:36:23 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 12:38:34 - [id=0] STATUS: Downloaded 48 bytes of new media content, 0/2 files
2012-06-07 12:40:15 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 12:42:23 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 12:44:19 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 12:46:32 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 12:48:28 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 12:50:36 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 12:52:33 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 12:54:48 - [id=0] STATUS: Downloaded 48 bytes of new media content, 0/2 files
2012-06-07 12:56:47 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 12:58:55 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 13:00:51 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 13:03:07 - [id=0] STATUS: Downloaded 48 bytes of new media content, 0/2 files
2012-06-07 13:05:01 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 13:07:12 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 13:09:05 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 13:11:18 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 13:13:14 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 13:15:29 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 13:17:22 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 13:19:31 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 13:21:32 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 13:21:44 - [id=0] Application NewsCasterD v1.0.38  Shutting down
2012-06-07 17:08:35 - [id=0] Application NewsCasterD v1.0.38  Restarted (192.168.26.73/Ethernet LAN), Startup sequence begun...
2012-06-07 17:08:49 - [id=0] Downloaded XMLNews, 569388 bytes in 8.0 seconds
2012-06-07 17:13:53 - [id=0] STATUS: Downloaded 11 bytes of new media content, 0/2 files
2012-06-07 17:15:50 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:17:54 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:19:49 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:22:05 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:25:04 - [id=0] STATUS: Downloaded 48 bytes of new media content, 0/2 files
2012-06-07 17:27:17 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:29:17 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
